2025-03-19 05:39:26,109 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,184 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,206 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,297 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,345 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,382 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,434 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,529 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,598 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,633 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,758 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,802 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,875 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,928 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:26,985 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,017 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,084 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,118 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,201 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,242 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,305 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,355 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,492 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:27,652 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,158 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,188 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,234 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,270 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,311 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,346 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,379 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,413 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,449 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,542 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,818 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,846 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,870 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,893 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,941 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:28,997 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,055 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,123 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,167 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,225 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,332 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,405 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,483 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:29,546 - Position: x=-107.12, y=103.11, angle=0.00бу
2025-03-19 05:39:48,402 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,425 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,507 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,531 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,602 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,635 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,674 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,705 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,737 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,801 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,875 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,915 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,951 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:48,993 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,028 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,057 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,126 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,220 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,273 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,319 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,376 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,417 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,454 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,492 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,522 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,564 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,633 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,715 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,775 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,803 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,874 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,909 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,955 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:49,985 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:50,024 - Position: x=0.00, y=0.00, angle=0.00бу
2025-03-19 05:39:50,091 - Position: x=0.00, y=0.00, angle=0.00бу
